"ResponseId","Nutritionist.y.n","job.function","decision_1","decision_2","decision_3","X3NOP.familiarity","X3NOP.effective","X3NOP.sell","X3NOP.use","seaweed.familiarity","seaweed.effective","seaweed.sell","seaweed.use","EO.familiarity","EO.effective","EO.sell","EO.use","tannins.familiarity","tannins.effective","tannins.sell","tannins.use","bw.1_1","bw.1_2","bw.1_3","bw.2_1","bw.2_2","bw.2_3","bw.3_1","bw.3_2","bw.3_3","bw.4_1","bw.4_2","bw.4_3","bw.5_1","bw.5_2","bw.5_3","bw.6_1","bw.6_2","bw.6_3","bw.7_1","bw.7_2","bw.7_3","concern_1","concern_2","concern_3","concern_4","concern_5","concern_6","concern_7","concern_8","concern_9","CV1","CV1info","CV2yes","CV2no","CV2infoyes","CV2infono","age","gender","education","region","number.of.cows","attitude.climate","attitude.methane","attitude.climate.mm","BidAmount","FollowUpBidYes","FollowUpBidNo"
1,"","4","50","20","30","10","9","13","9","10","10","9","9","10","10","9","21","10","10","9","9","2","","1","1","","2","1","2","","","2","1","2","1","","","1","2","1","","2","1,2,3,4","1,2,3,4","2","2","","","2","","1,2,3,4","","2","","","","2","6","3","4","1","3","2","2","2","0.55","","0.44"
2,"1","4","20","80","0","8","8","13","9","9","9","9","9","8","9","8","20","9","10","9","9","2","1","","","2","1","1","2","","","2","1","","1","2","","1","2","","1","2","1,2,3,4","1,2,3,4","1,2,3,4","","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","2","","","2","","","5","1","3","1","10000","3","3","2","0.6","","0.48"
3,"1","4","30","30","40","9","9","13","9","9","9","9","9","11","11","9","21","11","11","9","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.35","",""
4,"1","1,2,3,5,6,4","0","90","10","9","9","13","9","10","10","9","9","10","10","9","21","11","10","9","9","2","","1","2","1","","2","1","","1","2","","1","2","","1","","2","1","","2","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","1","","","1","","3","1","2","1","5,000","1","3","2","0.05","0.06",""
5,"1","4","10","50","40","8","8","13","9","8","8","9","9","8","9","8","20","11","10","9","9","2","1","","2","","1","1","2","","","2","1","1","2","","2","1","","","1","2","1","1,3","1,2","2","2","2","1,2","","1","","2","","","","2","2","2","3","1","","1","1","2","0.15","","0.12"
6,"1","4","0","0","100","9","12","13","9","9","10","9","9","9","10","9","21","9","11","9","9","2","1","","2","","1","1","2","","","2","1","1","2","","1","","2","","1","2","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","1,2,3,4","","","2","","","","2","5","1","3","1","10000","2","4","1","0.65","","0.52"
7,"1","4","25","25","50","9","8","13","9","9","9","9","9","9","11","8","20","11","11","9","9","1","2","","","2","1","1","2","","2","1","","1","2","","2","","1","","2","1","1,2","1,2,3,4","1,2,3,4","1,2,4","1,2,3,4","1,2,3,4","1,2","1,2","1,2","2","","","2","","","2","1","3","1","50000","1","1","1","0.55","","0.44"
8,"1","4","0","80","20","9","9","13","9","9","10","9","9","9","9","9","21","9","10","9","9","2","","1","2","1","","","2","1","2","","1","","2","1","1","","2","","1","2","1,3","1,3","1,3","3,4","1","1,2,3","","","1","","1","","","1","","4","1","2","","15","1","4","2","0.3","0.36",""
9,"1","4","50","20","30","8","8","13","9","8","8","9","9","9","9","8","21","9","9","9","9","2","1","","2","","1","1","","","1","2","","","1","2","","1","2","","2","1","1,2,3,4","1,2,3,4","2,4","2,4","1,2,3,4","1,2,3,4","","2","1,2,3,4","","2","","","","2","5","1","3","1","5000","2","4","4","0.15","","0.12"
10,"1","1,2,3,5,6,4","70","30","0","9","9","13","9","9","9","9","9","9","9","8","21","9","10","9","9","2","1","","","2","1","1","","2","1","2","","","1","2","","1","2","1","2","","1,2,3,4","2,3,4","","2,4","2,4","2,4","1","1","1","2","","","2","","","4","1","3","3","2500","2","3","2","0.3","","0.24"
